Record,Kurtosis_IMF1,Kurtosis_IMF2,Kurtosis_IMF3,Kurtosis_IMF4,Kurtosis_IMF5,Kurtosis_IMF6
c0001,17.0554217886457,4.65161049461934,1.49706021398238,0.0666325013880789,0.629097034180334,-0.237531593825795
c0002,5.97105614572058,6.37953566694468,2.10319832479632,1.51567477802679,-0.411225002137591,0.714526946798812
c0003,14.3351753324495,3.92226048511897,3.27139460747181,0.928695386926351,0.0445458924921702,0.195532683869503
c0004,4.20972644886688,1.11872605822061,0.733716972641957,0.664203004810873,1.03841659131175,-0.272746079110423
c0006,9.97920326088882,6.40302919521586,6.75491334217528,1.78672800818851,0.728130322074197,0.604873957568355
c0007,11.3895118086263,8.46955927916984,6.88523085404121,3.4972568460317,7.63681938047003,1.42994325527014
c0009,1.91119491606175,1.56481205506427,1.22776628525669,0.11711973614277,0.327707147345079,1.07721870646081
c0010,12.288180266196,9.69495386488921,4.07969781666971,1.69498058013594,0.934364184653954,2.30168547796188
c0011,20.1534474615008,7.12390471580722,2.35570395890165,0.551349595491404,0.919149110974166,0.572310370582104
c0012,7.6951261859118,1.44069455641208,0.496563919721383,0.0153722414973458,1.4510954309427,-0.0828798874245855
c0013,10.8920033130037,2.31919429139362,1.57694220898994,1.51628065253674,2.42071539629394,0.375569461685632
c0014,9.84388951635758,4.98396126057121,2.31441676349888,0.728293007612896,0.36179515153888,0.231978126649635
c0015,4.36465195637465,1.53253852744428,1.33506075225426,1.28398192483141,1.37407965516213,0.411066650448209
c0016,12.0621472332178,4.15566324664504,1.34161028500915,1.06526994857884,-0.113717381471785,0.00833517034985976
c0018,11.8046689690277,3.04429088128552,2.15904090478136,0.514686681622895,1.39440654716207,0.541793182972106
c0019,11.4411429252044,13.2720023678368,8.05751074679665,2.53135954002939,2.04700047013469,0.984398790700417
c0020,22.6269093179536,13.7638288244767,7.73189406670194,1.62703023188969,0.927022162403584,0.0429828457768342
c0021,37.401746313152,17.685316591845,11.6611051343837,2.64401093191864,3.3886183249637,3.33622801039616
c0022,14.7251068794309,6.62272814779626,0.897511909143323,0.463315349764962,1.33091717757619,-0.219258023092649
c0023,15.1407602869604,7.71729491708712,3.53860046735284,1.28347265888011,0.592958314118254,0.0239087395810533
c0024,11.0570548073534,4.03319362942263,2.97017416723524,1.26181461768882,0.522179630606033,-0.274278794160566
c0025,23.5101502977768,6.29973244861166,5.01468057367003,4.25378982390833,7.5757080891363,5.19515675002087
c0026,8.33795518949021,1.68944173093518,0.63457834686921,0.751113195525936,0.378226206146641,-0.588216671899422
c0027,9.92021347238598,1.03159262119049,0.944302681911326,0.536750622292254,0.34708448826956,-0.000869135269854659
c0028,8.18817386708059,2.97939340278979,1.7259895998381,0.491965326867184,0.0832873586053431,0.387244572566406
c0030,9.63813781496523,5.23408817245611,1.55312148949851,0.945602613417678,-0.576758077964235,0.277983211980752
c0031,7.8899903533743,1.84507741640542,1.28947925652637,0.621752253532887,0.173898689539639,0.682963998589531
